index,grid_x,grid_y,real_x,real_y,height
0,30,28,363820.8,363287.01,116.07
1,36,36,363822.0,363288.61,116.09
2,73,74,363829.4,363296.21,116.21
3,77,77,363830.2,363296.81,116.24
4,103,103,363835.4,363302.01,116.32
5,106,105,363836.0,363302.41,116.32
6,125,105,363839.8,363302.41,116.13
7,126,106,363840.0,363302.61,116.09
8,128,107,363840.4,363302.81,116.09
9,133,113,363841.4,363304.01,116.1
10,171,151,363849.0,363311.61,116.38
11,175,157,363849.8,363312.81,116.39
12,175,162,363849.8,363313.81,116.38
