grid_x,grid_y,real_x,real_y,height,terrain_type,r,g,b,hsv_h,hsv_s,hsv_v
0,0,363814.8,363281.41,116.2,GRASS,16,26,36,209.1,0.545,0.14
0,1,363814.8,363281.61,116.2,GRASS,15,26,35,208.1,0.564,0.139
0,2,363814.8,363281.81,116.2,GRASS,14,26,35,206.1,0.591,0.139
0,3,363814.8,363282.01,116.2,GRASS,14,26,35,204.8,0.607,0.136
0,4,363814.8,363282.21,116.2,GRASS,15,26,34,204.8,0.571,0.134
0,5,363814.8,363282.41,116.23,GRASS,16,27,34,203.2,0.516,0.132
0,6,363814.8,363282.61,116.23,GRASS,18,29,35,200.8,0.495,0.137
0,7,363814.8,363282.81,116.23,GRASS,18,30,36,200.7,0.508,0.14
0,8,363814.8,363283.01,116.23,GRASS,17,29,35,199.9,0.516,0.137
0,9,363814.8,363283.21,116.23,GRASS,18,29,34,196.3,0.464,0.132
0,10,363814.8,363283.41,116.26,GRASS,20,31,34,193.1,0.406,0.133
0,11,363814.8,363283.61,116.26,GRASS,23,33,36,192.2,0.36,0.14
0,12,363814.8,363283.81,116.26,GRASS,26,36,38,192.1,0.322,0.15
0,13,363814.8,363284.01,116.26,GRASS,30,40,41,187.7,0.276,0.162
0,14,363814.8,363284.21,116.26,GRASS,34,45,45,179.6,0.24,0.175
0,15,363814.8,363284.41,116.28,GRASS,37,49,46,166.9,0.249,0.192
0,16,363814.8,363284.61,116.28,GRASS,44,57,51,153.8,0.232,0.225
0,17,363814.8,363284.81,116.28,GRASS,53,66,58,142.3,0.197,0.258
0,18,363814.8,363285.01,116.28,GRASS,58,71,60,128.9,0.184,0.279
0,19,363814.8,363285.21,116.28,GRASS,63,76,61,114.9,0.187,0.296
0,20,363814.8,363285.41,116.31,GRASS,70,82,66,106.5,0.199,0.323
0,21,363814.8,363285.61,116.31,GRASS,71,84,67,103.7,0.212,0.331
0,22,363814.8,363285.81,116.31,GRASS,70,83,65,104.2,0.216,0.326
0,23,363814.8,363286.01,116.31,GRASS,66,80,62,107.5,0.221,0.313
0,24,363814.8,363286.21,116.31,GRASS,64,79,62,113.6,0.216,0.309
0,25,363814.8,363286.41,116.29,GRASS,62,78,62,118.8,0.211,0.307
0,26,363814.8,363286.61,116.29,GRASS,60,77,61,122.7,0.217,0.3
