index,grid_x,grid_y,real_x,real_y,height
0,63,59,364698.04,363774.84,120.15
1,61,61,364697.64,363775.24,120.2
2,60,69,364697.44,363776.84,120.05
3,58,71,364697.04,363777.24,119.99
4,60,75,364697.44,363778.04,120.0
5,66,80,364698.64,363779.04,119.94
6,65,84,364698.44,363779.84,119.94
7,59,90,364697.24,363781.04,119.87
8,54,96,364696.24,363782.24,119.81
9,38,110,364693.04,363785.04,119.72
10,28,120,364691.04,363787.04,119.63
11,27,123,364690.84,363787.64,119.63
12,27,146,364690.84,363792.24,119.56
13,28,147,364691.04,363792.44,119.56
14,28,149,364691.04,363792.84,119.56
15,27,150,364690.84,363793.04,119.46
16,29,157,364691.24,363794.44,119.41
17,34,163,364692.24,363795.64,119.39
18,34,173,364692.24,363797.64,119.37
19,35,174,364692.44,363797.84,119.21
20,34,175,364692.24,363798.04,119.02
21,35,182,364692.44,363799.44,118.73
22,36,192,364692.64,363801.44,118.51
23,38,194,364693.04,363801.84,118.51
24,43,201,364694.04,363803.24,118.49
25,42,204,364693.84,363803.84,118.49
26,42,209,364693.84,363804.84,118.33
27,43,210,364694.04,363805.04,118.13
28,43,214,364694.04,363805.84,118.13
29,44,215,364694.24,363806.04,117.9
30,50,209,364695.44,363804.84,117.63
31,54,210,364696.24,363805.04,117.37
32,55,209,364696.44,363804.84,117.23
33,56,210,364696.64,363805.04,116.97
34,58,214,364697.04,363805.84,116.97
35,59,215,364697.24,363806.04,116.71
36,60,214,364697.44,363805.84,116.53
37,64,220,364698.24,363807.04,116.09
38,67,218,364698.84,363806.64,115.93
39,68,219,364699.04,363806.84,115.93
40,70,218,364699.44,363806.64,115.76
41,75,214,364700.44,363805.84,115.61
42,77,213,364700.84,363805.64,115.61
43,88,207,364703.04,363804.44,115.37
44,122,203,364709.84,363803.64,114.72
45,125,205,364710.44,363804.04,114.6
46,125,207,364710.44,363804.44,114.6
47,126,208,364710.64,363804.64,114.6
48,131,210,364711.64,363805.04,114.57
49,140,215,364713.44,363806.04,114.55
50,153,218,364716.04,363806.64,114.58
51,155,220,364716.44,363807.04,114.56
52,160,220,364717.44,363807.04,114.54
53,161,221,364717.64,363807.24,114.54
54,165,222,364718.44,363807.44,114.51
55,166,223,364718.64,363807.64,114.51
56,171,225,364719.64,363808.04,114.47
57,182,229,364721.84,363808.84,114.49
58,184,229,364722.24,363808.84,114.49
59,185,230,364722.44,363809.04,114.46
60,197,230,364724.84,363809.04,114.45
61,230,230,364731.44,363809.04,114.37
62,231,229,364731.64,363808.84,114.35
63,235,229,364732.44,363808.84,114.35
64,236,230,364732.64,363809.04,114.36
65,240,230,364733.44,363809.04,114.36
66,248,228,364735.04,363808.64,114.37
67,253,227,364736.04,363808.44,114.35
68,275,225,364740.44,363808.04,114.31
69,276,224,364740.64,363807.84,114.3
70,285,224,364742.44,363807.84,114.29
71,286,225,364742.64,363808.04,114.26
72,289,225,364743.24,363808.04,114.26
73,292,228,364743.84,363808.64,114.24
74,294,231,364744.24,363809.24,114.22
75,294,233,364744.24,363809.64,114.22
76,295,239,364744.44,363810.84,114.21
77,304,245,364746.24,363812.04,114.1
78,308,251,364747.04,363813.24,114.09
79,315,258,364748.44,363814.64,114.07
80,338,255,364753.04,363814.04,113.5
81,345,262,364754.44,363815.44,113.54
82,347,269,364754.84,363816.84,113.54
83,348,272,364755.04,363817.44,113.54
84,354,281,364756.24,363819.24,113.55
85,356,286,364756.64,363820.24,113.55
86,371,319,364759.64,363826.84,113.51
87,372,324,364759.84,363827.84,113.52
88,371,327,364759.64,363828.44,113.52
