index,grid_x,grid_y,real_x,real_y,height
0,31,25,364319.8,364108.33,116.16
1,33,29,364320.2,364109.13,115.88
2,34,30,364320.4,364109.33,115.61
3,39,33,364321.4,364109.93,115.42
4,38,34,364321.2,364110.13,115.32
5,44,40,364322.4,364111.33,114.56
6,50,44,364323.6,364112.13,114.15
7,62,56,364326.0,364114.53,113.46
8,73,58,364328.2,364114.93,113.16
9,74,59,364328.4,364115.13,113.04
10,78,59,364329.2,364115.13,113.04
11,79,58,364329.4,364114.93,113.04
12,90,53,364331.6,364113.93,113.04
13,93,53,364332.2,364113.93,113.04
14,94,54,364332.4,364114.13,113.09
15,105,57,364334.6,364114.73,113.38
16,109,59,364335.4,364115.13,113.42
17,112,63,364336.0,364115.93,113.42
18,122,72,364338.0,364117.73,113.12
19,124,73,364338.4,364117.93,113.16
20,161,108,364345.8,364124.93,113.4
21,162,108,364346.0,364124.93,113.4
22,162,114,364346.0,364126.13,113.42
23,174,128,364348.4,364128.93,113.41
24,180,147,364349.6,364132.73,113.54
