grid_x,grid_y,real_x,real_y,height,terrain_type,r,g,b,hsv_h,hsv_s,hsv_v
0,0,364313.6,364103.33,118.92,GRASS,83,95,77,100.5,0.188,0.371
0,1,364313.6,364103.53,118.92,GRASS,85,97,79,99.6,0.182,0.38
0,2,364313.6,364103.73,118.92,GRASS,85,97,79,99.5,0.179,0.379
0,3,364313.6,364103.93,118.92,GRASS,76,88,71,102.3,0.194,0.346
0,4,364313.6,364104.13,118.92,GRASS,73,86,69,104.0,0.204,0.338
0,5,364313.6,364104.33,118.59,GRASS,77,90,72,103.3,0.2,0.353
0,6,364313.6,364104.53,118.59,GRASS,81,94,76,103.3,0.192,0.367
0,7,364313.6,364104.73,118.59,GRASS,78,91,73,103.3,0.198,0.356
0,8,364313.6,364104.93,118.59,GRASS,77,90,72,103.3,0.2,0.352
0,9,364313.6,364105.13,118.59,GRASS,75,88,70,103.3,0.204,0.345
0,10,364313.6,364105.33,118.26,GRASS,73,86,68,103.3,0.21,0.335
0,11,364313.6,364105.53,118.26,GRASS,72,85,66,102.5,0.216,0.332
0,12,364313.6,364105.73,118.26,GRASS,78,91,72,100.9,0.203,0.356
0,13,364313.6,364105.93,118.26,GRASS,80,92,74,99.7,0.197,0.361
0,14,364313.6,364106.13,118.26,GRASS,76,88,70,101.0,0.199,0.344
0,15,364313.6,364106.33,117.88,GRASS,74,86,69,102.7,0.203,0.338
0,16,364313.6,364106.53,117.88,GRASS,76,89,72,104.8,0.196,0.349
0,17,364313.6,364106.73,117.88,GRASS,78,91,74,105.3,0.189,0.358
0,18,364313.6,364106.93,117.88,GRASS,78,91,73,104.5,0.194,0.355
0,19,364313.6,364107.13,117.88,GRASS,82,95,77,102.0,0.192,0.373
0,20,364313.6,364107.33,117.53,GRASS,85,98,79,99.4,0.191,0.383
0,21,364313.6,364107.53,117.53,GRASS,84,96,77,97.6,0.19,0.375
0,22,364313.6,364107.73,117.53,GRASS,80,91,74,98.4,0.191,0.357
0,23,364313.6,364107.93,117.53,GRASS,80,92,74,99.0,0.191,0.36
0,24,364313.6,364108.13,117.53,GRASS,82,94,77,100.8,0.187,0.37
0,25,364313.6,364108.33,117.28,GRASS,83,96,78,102.8,0.186,0.376
0,26,364313.6,364108.53,117.28,GRASS,78,91,73,103.3,0.198,0.357
0,27,364313.6,364108.73,117.28,GRASS,71,84,66,103.3,0.213,0.331
0,28,364313.6,364108.93,117.28,GRASS,72,85,67,103.3,0.212,0.332
0,29,364313.6,364109.13,117.0,GRASS,77,90,72,103.3,0.201,0.351
0,30,364313.6,364109.33,117.0,GRASS,80,93,75,103.3,0.194,0.364
0,31,364313.6,364109.53,117.0,GRASS,82,95,77,104.2,0.191,0.373
0,32,364313.6,364109.73,117.0,GRASS,80,95,76,105.8,0.197,0.371
0,33,364313.6,364109.93,117.0,GRASS,79,94,75,107.4,0.202,0.37
0,34,364313.6,364110.13,116.62,GRASS,78,93,74,107.4,0.205,0.364
0,35,364313.6,364110.33,116.62,GRASS,73,88,70,108.8,0.207,0.345
0,36,364313.6,364110.53,116.62,GRASS,64,78,61,112.0,0.213,0.306
0,37,364313.6,364110.73,116.62,GRASS,61,75,60,114.5,0.204,0.296
0,38,364313.6,364110.93,116.62,GRASS,64,78,62,111.9,0.208,0.306
0,39,364313.6,364111.13,116.38,GRASS,70,84,67,109.0,0.207,0.33
0,40,364313.6,364111.33,116.38,GRASS,72,87,69,110.0,0.207,0.34
0,41,364313.6,364111.53,116.38,GRASS,72,88,70,112.8,0.209,0.345
0,42,364313.6,364111.73,116.38,GRASS,71,88,70,116.7,0.205,0.345
0,43,364313.6,364111.93,116.38,GRASS,70,87,69,115.2,0.209,0.342
0,44,364313.6,364112.13,116.03,GRASS,68,84,65,112.3,0.221,0.329
0,45,364313.6,364112.33,116.03,GRASS,70,86,67,109.5,0.222,0.335
0,46,364313.6,364112.53,116.03,GRASS,73,88,69,109.5,0.215,0.347
0,47,364313.6,364112.73,116.03,GRASS,74,90,71,109.5,0.211,0.353
0,48,364313.6,364112.93,116.03,GRASS,72,87,68,109.1,0.218,0.342
0,49,364313.6,364113.13,115.66,GRASS,70,85,66,108.0,0.223,0.334
0,50,364313.6,364113.33,115.66,GRASS,67,82,63,106.6,0.231,0.32
0,51,364313.6,364113.53,115.66,GRASS,68,82,64,106.7,0.224,0.321
0,52,364313.6,364113.73,115.66,GRASS,71,85,67,108.4,0.206,0.333
0,53,364313.6,364113.93,115.66,GRASS,72,87,70,110.8,0.2,0.341
0,54,364313.6,364114.13,115.38,GRASS,73,89,71,112.5,0.203,0.35
0,55,364313.6,364114.33,115.38,GRASS,72,89,71,114.6,0.209,0.35
0,56,364313.6,364114.53,115.38,GRASS,68,85,67,114.6,0.219,0.334
0,57,364313.6,364114.73,115.38,GRASS,66,83,65,115.0,0.223,0.326
0,58,364313.6,364114.93,115.38,GRASS,67,84,66,116.2,0.217,0.328
0,59,364313.6,364115.13,115.1,GRASS,69,86,68,116.9,0.211,0.338
0,60,364313.6,364115.33,115.1,GRASS,70,88,69,115.3,0.221,0.345
0,61,364313.6,364115.53,115.1,GRASS,70,88,68,113.3,0.231,0.347
0,62,364313.6,364115.73,115.1,GRASS,67,85,65,112.1,0.234,0.332
0,63,364313.6,364115.93,115.1,GRASS,65,82,63,111.2,0.233,0.32
0,64,364313.6,364116.13,114.78,GRASS,66,82,63,110.9,0.23,0.32
0,65,364313.6,364116.33,114.78,GRASS,67,83,65,114.5,0.217,0.327
