index,grid_x,grid_y,real_x,real_y,height
0,136.0,32.0,366159.16,362576.4,116.79
1,135.704,32.404,366159.16,362576.4,116.79
2,135.408,32.808,366158.96,362576.6,116.79
3,135.112,33.212,366158.96,362576.6,116.79
4,134.816,33.616,366158.96,362576.8,116.79
5,134.52,34.02,366158.96,362576.8,116.79
6,134.224,34.424,366158.76,362576.8,116.79
7,133.928,34.828,366158.76,362577.0,116.8
8,133.632,35.232,366158.76,362577.0,116.8
9,133.336,35.636,366158.56,362577.2,116.81
10,133.04,36.04,366158.56,362577.2,116.81
11,132.744,36.444,366158.56,362577.2,116.81
12,132.448,36.848,366158.36,362577.4,116.81
13,132.152,37.252,366158.36,362577.4,116.81
14,131.856,37.656,366158.36,362577.6,116.81
15,131.56,38.06,366158.36,362577.6,116.81
16,131.264,38.464,366158.16,362577.6,116.81
17,130.968,38.868,366158.16,362577.8,116.81
18,130.672,39.272,366158.16,362577.8,116.81
19,130.376,39.676,366157.96,362578.0,116.81
20,130.08,40.08,366157.96,362578.0,116.81
21,129.784,40.484,366157.96,362578.0,116.81
22,129.488,40.888,366157.76,362578.2,116.81
23,129.192,41.292,366157.76,362578.2,116.81
24,128.896,41.696,366157.76,362578.4,116.81
25,128.6,42.1,366157.76,362578.4,116.81
26,128.304,42.504,366157.56,362578.6,116.79
27,128.008,42.908,366157.56,362578.6,116.79
28,127.712,43.312,366157.56,362578.6,116.79
29,127.416,43.716,366157.36,362578.8,116.79
30,127.12,44.12,366157.36,362578.8,116.79
31,126.824,44.524,366157.36,362579.0,116.81
32,126.528,44.928,366157.36,362579.0,116.81
33,126.232,45.332,366157.16,362579.0,116.81
34,125.936,45.736,366157.16,362579.2,116.81
35,125.64,46.14,366157.16,362579.2,116.81
36,125.344,46.544,366156.96,362579.4,116.81
37,125.048,46.948,366156.96,362579.4,116.81
38,124.752,47.352,366156.96,362579.4,116.81
39,124.456,47.756,366156.76,362579.6,116.81
40,124.16,48.16,366156.76,362579.6,116.81
41,123.864,48.564,366156.76,362579.8,116.81
42,123.568,48.968,366156.76,362579.8,116.81
43,123.272,49.372,366156.56,362579.8,116.8
44,122.976,49.776,366156.56,362580.0,116.81
45,122.68,50.18,366156.56,362580.0,116.81
46,122.384,50.584,366156.36,362580.2,116.81
47,122.088,50.988,366156.36,362580.2,116.81
48,121.792,51.392,366156.36,362580.2,116.81
49,121.496,51.796,366156.16,362580.4,116.81
50,121.2,52.2,366156.16,362580.4,116.81
51,120.904,52.604,366156.16,362580.6,116.81
52,120.608,53.008,366156.16,362580.6,116.81
53,120.312,53.412,366155.96,362580.6,116.81
54,120.016,53.816,366155.96,362580.8,116.81
55,119.72,54.22,366155.96,362580.8,116.81
56,119.424,54.624,366155.76,362581.0,116.79
57,119.128,55.028,366155.76,362581.0,116.79
58,118.832,55.432,366155.76,362581.0,116.79
59,118.536,55.836,366155.76,362581.2,116.79
60,118.24,56.24,366155.56,362581.2,116.8
61,117.944,56.644,366155.56,362581.4,116.8
62,117.648,57.048,366155.56,362581.4,116.8
63,117.352,57.452,366155.36,362581.4,116.8
64,117.056,57.856,366155.36,362581.6,116.8
65,116.76,58.26,366155.36,362581.6,116.8
66,116.464,58.664,366155.16,362581.8,116.8
67,116.168,59.068,366155.16,362581.8,116.8
68,115.872,59.472,366155.16,362581.8,116.8
69,115.576,59.876,366155.16,362582.0,116.78
70,115.28,60.28,366154.96,362582.0,116.78
71,114.984,60.684,366154.96,362582.2,116.78
72,114.688,61.088,366154.96,362582.2,116.78
73,114.392,61.492,366154.76,362582.2,116.78
74,114.096,61.896,366154.76,362582.4,116.78
75,113.8,62.3,366154.76,362582.4,116.78
76,113.504,62.704,366154.76,362582.6,116.78
77,113.208,63.108,366154.56,362582.6,116.76
78,112.912,63.512,366154.56,362582.8,116.76
79,112.616,63.916,366154.56,362582.8,116.76
80,112.32,64.32,366154.36,362582.8,116.76
81,112.024,64.724,366154.36,362583.0,116.78
82,111.728,65.128,366154.36,362583.0,116.78
83,111.432,65.532,366154.16,362583.2,116.78
84,111.136,65.936,366154.16,362583.2,116.78
85,110.84,66.34,366154.16,362583.2,116.78
86,110.544,66.744,366154.16,362583.4,116.78
87,110.248,67.148,366153.96,362583.4,116.78
88,109.952,67.552,366153.96,362583.6,116.78
89,109.656,67.956,366153.96,362583.6,116.78
90,109.36,68.36,366153.76,362583.6,116.78
91,109.064,68.764,366153.76,362583.8,116.78
92,108.768,69.168,366153.76,362583.8,116.78
93,108.472,69.572,366153.56,362584.0,116.78
94,108.176,69.976,366153.56,362584.0,116.78
95,107.88,70.38,366153.56,362584.0,116.78
96,107.584,70.784,366153.56,362584.2,116.78
97,107.288,71.188,366153.36,362584.2,116.78
98,106.992,71.592,366153.36,362584.4,116.78
99,106.696,71.996,366153.36,362584.4,116.78
100,106.4,72.4,366153.16,362584.4,116.78
101,106.104,72.804,366153.16,362584.6,116.78
102,105.808,73.208,366153.16,362584.6,116.78
103,105.512,73.612,366153.16,362584.8,116.78
104,105.216,74.016,366152.96,362584.8,116.78
105,104.92,74.42,366152.96,362584.8,116.78
106,104.624,74.824,366152.96,362585.0,116.78
107,104.328,75.228,366152.76,362585.0,116.78
108,104.032,75.632,366152.76,362585.2,116.79
109,103.736,76.036,366152.76,362585.2,116.79
110,103.44,76.44,366152.56,362585.2,116.79
111,103.144,76.844,366152.56,362585.4,116.79
112,102.848,77.248,366152.56,362585.4,116.79
113,102.552,77.652,366152.56,362585.6,116.79
114,102.256,78.056,366152.36,362585.6,116.79
115,101.96,78.46,366152.36,362585.6,116.79
116,101.664,78.864,366152.36,362585.8,116.79
117,101.368,79.268,366152.16,362585.8,116.79
118,101.072,79.672,366152.16,362586.0,116.79
119,100.776,80.076,366152.16,362586.0,116.79
120,100.48,80.48,366151.96,362586.0,116.79
121,100.184,80.884,366151.96,362586.2,116.79
122,99.888,81.288,366151.96,362586.2,116.79
123,99.592,81.692,366151.96,362586.4,116.79
124,99.296,82.096,366151.76,362586.4,116.79
125,99.0,82.5,366151.76,362586.4,116.79
126,98.704,82.904,366151.76,362586.6,116.79
127,98.408,83.308,366151.56,362586.6,116.81
128,98.112,83.712,366151.56,362586.8,116.81
129,97.816,84.116,366151.56,362586.8,116.81
130,97.52,84.52,366151.56,362587.0,116.81
131,97.224,84.924,366151.36,362587.0,116.81
132,96.928,85.328,366151.36,362587.0,116.81
133,96.632,85.732,366151.36,362587.2,116.78
134,96.336,86.136,366151.16,362587.2,116.78
135,96.04,86.54,366151.16,362587.4,116.78
136,95.744,86.944,366151.16,362587.4,116.78
137,95.448,87.348,366150.96,362587.4,116.78
138,95.152,87.752,366150.96,362587.6,116.78
139,94.856,88.156,366150.96,362587.6,116.78
140,94.56,88.56,366150.96,362587.8,116.78
141,94.264,88.964,366150.76,362587.8,116.78
142,93.968,89.368,366150.76,362587.8,116.78
143,93.672,89.772,366150.76,362588.0,116.78
144,93.376,90.176,366150.56,362588.0,116.83
145,93.08,90.58,366150.56,362588.2,116.81
146,92.784,90.984,366150.56,362588.2,116.81
147,92.488,91.388,366150.36,362588.2,116.81
148,92.192,91.792,366150.36,362588.4,116.81
149,91.896,92.196,366150.36,362588.4,116.81
150,91.6,92.6,366150.36,362588.6,116.81
151,91.304,93.004,366150.16,362588.6,116.81
152,91.008,93.408,366150.16,362588.6,116.81
153,90.712,93.812,366150.16,362588.8,116.81
154,90.416,94.216,366149.96,362588.8,116.81
155,90.12,94.62,366149.96,362589.0,116.81
156,89.824,95.024,366149.96,362589.0,116.81
157,89.528,95.428,366149.96,362589.0,116.81
158,89.232,95.832,366149.76,362589.2,116.81
159,88.936,96.236,366149.76,362589.2,116.81
160,88.64,96.64,366149.76,362589.4,116.81
161,88.344,97.044,366149.56,362589.4,116.86
162,88.048,97.448,366149.56,362589.4,116.86
163,87.752,97.852,366149.56,362589.6,116.86
164,87.456,98.256,366149.36,362589.6,116.86
165,87.16,98.66,366149.36,362589.8,116.86
166,86.864,99.064,366149.36,362589.8,116.86
167,86.568,99.468,366149.36,362589.8,116.86
168,86.272,99.872,366149.16,362590.0,116.86
169,85.976,100.276,366149.16,362590.0,116.86
170,85.68,100.68,366149.16,362590.2,116.83
171,85.384,101.084,366148.96,362590.2,116.83
172,85.088,101.488,366148.96,362590.2,116.83
173,84.792,101.892,366148.96,362590.4,116.83
174,84.496,102.296,366148.76,362590.4,116.83
175,84.2,102.7,366148.76,362590.6,116.83
176,83.904,103.104,366148.76,362590.6,116.83
177,83.608,103.508,366148.76,362590.8,116.83
178,83.312,103.912,366148.56,362590.8,116.84
179,83.016,104.316,366148.56,362590.8,116.84
180,82.72,104.72,366148.56,362591.0,116.84
181,82.424,105.124,366148.36,362591.0,116.84
182,82.128,105.528,366148.36,362591.2,116.84
183,81.832,105.932,366148.36,362591.2,116.84
184,81.536,106.336,366148.36,362591.2,116.84
185,81.24,106.74,366148.16,362591.4,116.84
186,80.944,107.144,366148.16,362591.4,116.84
187,80.648,107.548,366148.16,362591.6,116.84
188,80.352,107.952,366147.96,362591.6,116.84
189,80.056,108.356,366147.96,362591.6,116.84
190,79.76,108.76,366147.96,362591.8,116.84
191,79.464,109.164,366147.76,362591.8,116.84
192,79.168,109.568,366147.76,362592.0,116.84
193,78.872,109.972,366147.76,362592.0,116.84
194,78.576,110.376,366147.76,362592.0,116.84
195,78.28,110.78,366147.56,362592.2,116.83
196,77.984,111.184,366147.56,362592.2,116.83
197,77.688,111.588,366147.56,362592.4,116.83
198,77.392,111.992,366147.36,362592.4,116.83
199,77.096,112.396,366147.36,362592.4,116.83
200,76.8,112.8,366147.36,362592.6,116.83
201,76.504,113.204,366147.36,362592.6,116.83
202,76.208,113.608,366147.16,362592.8,116.83
203,75.912,114.012,366147.16,362592.8,116.83
204,75.616,114.416,366147.16,362592.8,116.83
205,75.32,114.82,366146.96,362593.0,116.83
206,75.024,115.224,366146.96,362593.0,116.83
207,74.728,115.628,366146.96,362593.2,116.85
208,74.432,116.032,366146.76,362593.2,116.85
209,74.136,116.436,366146.76,362593.2,116.85
210,73.84,116.84,366146.76,362593.4,116.85
211,73.544,117.244,366146.76,362593.4,116.85
212,73.248,117.648,366146.56,362593.6,116.85
213,72.952,118.052,366146.56,362593.6,116.85
214,72.656,118.456,366146.56,362593.6,116.85
215,72.36,118.86,366146.36,362593.8,116.85
216,72.064,119.264,366146.36,362593.8,116.85
217,71.768,119.668,366146.36,362594.0,116.85
218,71.472,120.072,366146.16,362594.0,116.85
219,71.176,120.476,366146.16,362594.0,116.85
220,70.88,120.88,366146.16,362594.2,116.84
221,70.584,121.284,366146.16,362594.2,116.84
222,70.288,121.688,366145.96,362594.4,116.84
223,69.992,122.092,366145.96,362594.4,116.84
224,69.696,122.496,366145.96,362594.4,116.84
225,69.4,122.9,366145.76,362594.6,116.84
226,69.104,123.304,366145.76,362594.6,116.84
227,68.808,123.708,366145.76,362594.8,116.84
228,68.512,124.112,366145.76,362594.8,116.84
229,68.216,124.516,366145.56,362595.0,116.84
230,67.92,124.92,366145.56,362595.0,116.84
231,67.624,125.324,366145.56,362595.0,116.84
232,67.328,125.728,366145.36,362595.2,116.83
233,67.032,126.132,366145.36,362595.2,116.83
234,66.736,126.536,366145.36,362595.4,116.83
235,66.44,126.94,366145.16,362595.4,116.83
236,66.144,127.344,366145.16,362595.4,116.83
237,65.848,127.748,366145.16,362595.6,116.83
238,65.552,128.152,366145.16,362595.6,116.83
239,65.256,128.556,366144.96,362595.8,116.83
240,64.96,128.96,366144.96,362595.8,116.83
241,64.664,129.364,366144.96,362595.8,116.83
242,64.368,129.768,366144.76,362596.0,116.83
243,64.072,130.172,366144.76,362596.0,116.83
244,63.776,130.576,366144.76,362596.2,116.85
245,63.48,130.98,366144.56,362596.2,116.84
246,63.184,131.384,366144.56,362596.2,116.84
247,62.888,131.788,366144.56,362596.4,116.84
248,62.592,132.192,366144.56,362596.4,116.84
249,62.296,132.596,366144.36,362596.6,116.84
250,62.0,133.0,366144.36,362596.6,116.84
251,62.1429,133.4857,366144.36,362596.6,116.84
252,62.2857,133.9714,366144.36,362596.8,116.84
