grid_x,grid_y,real_x,real_y,height,terrain_type,r,g,b,hsv_h,hsv_s,hsv_v
0,0,366129.65,362574.24,116.81,GRASS,26,40,40,178.6,0.355,0.157
0,1,366129.65,362574.44,116.81,GRASS,26,41,40,178.9,0.355,0.159
0,2,366129.65,362574.64,116.81,GRASS,28,43,43,180.0,0.344,0.167
0,3,366129.65,362574.84,116.81,GRASS,30,45,45,181.3,0.339,0.177
0,4,366129.65,362575.04,116.81,GRASS,31,46,46,179.5,0.333,0.182
0,5,366129.65,362575.24,116.8,GRASS,30,46,45,176.5,0.347,0.181
0,6,366129.65,362575.44,116.8,GRASS,29,44,43,176.9,0.353,0.173
0,7,366129.65,362575.64,116.8,GRASS,27,42,41,178.4,0.356,0.163
0,8,366129.65,362575.84,116.8,GRASS,25,39,39,180.0,0.36,0.153
0,9,366129.65,362576.04,116.8,GRASS,22,36,36,180.0,0.387,0.142
0,10,366129.65,362576.24,116.82,GRASS,20,34,34,180.0,0.409,0.134
0,11,366129.65,362576.44,116.82,GRASS,20,34,34,180.0,0.414,0.133
0,12,366129.65,362576.64,116.82,GRASS,21,35,35,180.0,0.402,0.136
0,13,366129.65,362576.84,116.82,GRASS,23,37,37,180.6,0.381,0.146
0,14,366129.65,362577.04,116.82,GRASS,25,39,40,181.9,0.365,0.155
0,15,366129.65,362577.24,116.84,GRASS,25,39,40,183.5,0.371,0.157
0,16,366129.65,362577.44,116.84,GRASS,23,37,38,184.0,0.393,0.15
0,17,366129.65,362577.64,116.84,GRASS,22,36,37,184.3,0.403,0.145
0,18,366129.65,362577.84,116.84,GRASS,22,35,36,185.6,0.397,0.141
0,19,366129.65,362578.04,116.84,GRASS,23,35,37,186.6,0.365,0.144
0,20,366129.65,362578.24,116.83,GRASS,26,37,38,185.7,0.33,0.15
0,21,366129.65,362578.44,116.83,GRASS,26,38,38,181.3,0.314,0.15
0,22,366129.65,362578.64,116.83,GRASS,27,39,38,177.3,0.306,0.152
0,23,366129.65,362578.84,116.83,GRASS,27,39,37,173.3,0.311,0.151
0,24,366129.65,362579.04,116.83,GRASS,26,39,37,173.0,0.325,0.151
0,25,366129.65,362579.24,116.82,GRASS,26,40,39,174.4,0.338,0.156
0,26,366129.65,362579.44,116.82,GRASS,30,45,44,177.2,0.322,0.175
0,27,366129.65,362579.64,116.82,GRASS,32,46,46,180.0,0.317,0.181
0,28,366129.65,362579.84,116.82,GRASS,29,45,43,175.1,0.348,0.175
0,29,366129.65,362580.04,116.82,GRASS,27,43,40,167.6,0.375,0.169
0,30,366129.65,362580.24,116.82,GRASS,28,44,39,162.9,0.361,0.173
0,31,366129.65,362580.44,116.82,GRASS,29,43,41,168.8,0.344,0.17
0,32,366129.65,362580.64,116.82,GRASS,29,43,42,175.8,0.331,0.168
0,33,366129.65,362580.84,116.82,GRASS,28,41,38,166.7,0.333,0.162
0,34,366129.65,362581.04,116.82,GRASS,35,49,40,138.2,0.282,0.193
0,35,366129.65,362581.24,116.82,GRASS,62,76,58,107.3,0.241,0.298
0,36,366129.65,362581.44,116.8,GRASS,86,101,75,95.1,0.257,0.397
0,37,366129.65,362581.64,116.8,GRASS,95,110,79,89.2,0.283,0.43
0,38,366129.65,362581.84,116.8,GRASS,90,105,73,86.8,0.303,0.41
0,39,366129.65,362582.04,116.8,GRASS,88,101,70,85.5,0.307,0.395
0,40,366129.65,362582.24,116.8,GRASS,80,93,64,86.0,0.31,0.364
0,41,366129.65,362582.44,116.79,GRASS,80,92,65,86.6,0.294,0.363
0,42,366129.65,362582.64,116.79,GRASS,85,97,69,87.0,0.286,0.381
0,43,366129.65,362582.84,116.79,GRASS,88,101,72,85.5,0.291,0.396
0,44,366129.65,362583.04,116.79,GRASS,91,104,74,85.7,0.289,0.407
0,45,366129.65,362583.24,116.79,GRASS,94,108,78,86.8,0.272,0.422
0,46,366129.65,362583.44,116.77,GRASS,91,105,76,87.9,0.275,0.411
0,47,366129.65,362583.64,116.77,GRASS,82,96,67,89.1,0.305,0.376
0,48,366129.65,362583.84,116.77,GRASS,75,90,59,89.3,0.342,0.352
0,49,366129.65,362584.04,116.77,GRASS,86,101,69,88.0,0.32,0.398
0,50,366129.65,362584.24,116.77,GRASS,97,113,79,87.2,0.304,0.443
0,51,366129.65,362584.44,116.73,GRASS,103,119,83,86.5,0.3,0.466
0,52,366129.65,362584.64,116.73,GRASS,108,124,87,85.8,0.294,0.485
0,53,366129.65,362584.84,116.73,GRASS,101,117,81,85.7,0.309,0.457
0,54,366129.65,362585.04,116.73,GRASS,92,107,73,87.3,0.32,0.42
0,55,366129.65,362585.24,116.73,GRASS,87,102,71,89.4,0.31,0.401
0,56,366129.65,362585.44,116.73,GRASS,86,102,72,91.8,0.295,0.398
0,57,366129.65,362585.64,116.73,GRASS,87,103,74,92.8,0.281,0.405
0,58,366129.65,362585.84,116.73,GRASS,87,102,73,92.1,0.284,0.4
0,59,366129.65,362586.04,116.73,GRASS,83,98,69,91.4,0.295,0.383
0,60,366129.65,362586.24,116.73,GRASS,79,94,66,91.7,0.295,0.368
0,61,366129.65,362586.44,116.75,GRASS,79,93,68,93.3,0.273,0.366
0,62,366129.65,362586.64,116.75,GRASS,71,85,62,96.0,0.276,0.333
0,63,366129.65,362586.84,116.75,GRASS,60,75,52,97.5,0.314,0.295
0,64,366129.65,362587.04,116.75,GRASS,67,83,58,96.7,0.308,0.326
0,65,366129.65,362587.24,116.75,GRASS,79,95,68,95.4,0.286,0.372
0,66,366129.65,362587.44,116.78,GRASS,83,99,72,95.7,0.271,0.387
0,67,366129.65,362587.64,116.78,GRASS,76,92,68,99.1,0.26,0.36
0,68,366129.65,362587.84,116.78,GRASS,65,79,59,103.8,0.255,0.311
0,69,366129.65,362588.04,116.78,GRASS,57,71,53,105.4,0.261,0.28
0,70,366129.65,362588.24,116.78,GRASS,59,73,53,100.8,0.274,0.286
0,71,366129.65,362588.44,116.78,GRASS,67,80,58,96.2,0.274,0.313
0,72,366129.65,362588.64,116.78,GRASS,62,75,52,94.7,0.31,0.294
0,73,366129.65,362588.84,116.78,GRASS,57,71,47,95.9,0.327,0.277
0,74,366129.65,362589.04,116.78,GRASS,60,74,52,99.9,0.291,0.29
0,75,366129.65,362589.24,116.78,GRASS,68,82,62,102.7,0.238,0.32
0,76,366129.65,362589.44,116.79,GRASS,64,77,59,103.9,0.226,0.301
